participant_id,condition,prompt_id,outline_ideas_shown,outline_detail_shown,outline_ideas_pasted,outline_characters_inserted,revision_ideas_shown,revision_ideas_applied,revision_characters_inserted_1
63e584009bf1aa55a39e1d53,2,b2,3,1,2,526,0,0,0
5a791168f49c9a0001f31061,2,b3,3,1,2,485,0,0,0
676276312d87ec9601be7d5c,1,a2,0,0,0,0,0,0,0
65cb7b14e78fc98ecd71d8de,4,b3,0,0,0,0,34,14,1632
5eaee5a2b1ad425c2eb0061d,4,a1,0,0,0,0,12,11,1114
682ce81464477d02bf7e7fd0,4,a1,0,0,0,0,15,6,522
60ae732b911084864713db46,1,b3,0,0,0,0,0,0,0
6600a119385d8631c41cd795,4,a3,0,0,0,0,15,9,737
666640831e2f8d963f8c528f,2,b2,3,2,0,0,0,0,0
5755c957eb80c4000741a9ce,2,a2,3,2,0,0,0,0,0
6202997def1cb18a1337c483,2,b1,0,0,0,0,0,0,0
64ec1d84372b0dbb94589054,2,a3,3,3,1,85,0,0,0
662973533159df515afdd606,1,b2,0,0,0,0,0,0,0
631fdedf78d4f7b0a6b985ad,3,a1,0,0,0,0,0,0,0
67f588a70bda8704ed309bb2,3,b1,0,0,0,0,0,0,0
6722a197cc0c3f9ed2aa5110,3,a1,0,0,0,0,0,0,0
66cdcfbb7cf063916d61746f,1,a3,0,0,0,0,0,0,0
67bd0a210300cd17904fcd28,2,a2,0,0,0,0,0,0,0
5f58d7941af44708223b94da,1,b3,0,0,0,0,0,0,0
66f75ca6c63db2214194b1cc,3,b1,0,0,0,0,0,0,0
67e41073845419aa20c5dcfe,1,b2,0,0,0,0,0,0,0
6739c63518b4df234536f2d7,2,a3,3,1,1,372,0,0,0
66df94af83813d40ddcbf790,2,b1,0,0,0,0,0,0,0
6772eefa63ec1102cc8bce2e,2,b1,0,0,0,0,0,0,0
5e47a5ae418f6125620ee944,2,b1,6,1,0,0,0,0,0
653ae70380d91293ccf6e5d9,4,a3,0,0,0,0,12,4,271
62f1b2691a5ac1c03a9987a0,3,a3,0,0,0,0,0,0,0
5d6d729b679b200019c12498,4,a3,0,0,0,0,3,0,0
675efef80636ec90d906ecb4,3,a1,0,0,0,0,0,0,0
5e1545d9b1fb05b6369d13e8,4,a3,0,0,0,0,15,6,187
5f4e52a627d2a0000a8ed0c5,2,a3,3,2,2,422,0,0,0
673378009f99d14c232c1f2b,3,b3,0,0,0,0,0,0,0
676add84a7c12204af3e4c90,4,a3,0,0,0,0,12,11,1011
6733a35832fa017f4156e703,4,a1,0,0,0,0,14,9,873
67cfeddb9f4b04d789ca82bd,3,a3,0,0,0,0,0,0,0
673f58421b143a15bc2367c1,4,a1,0,0,0,0,3,0,0
67ea1b486fa9c8eb97c1c4ea,3,b3,0,0,0,0,0,0,0
67781e16d9eefb2646a5f089,3,a2,0,0,0,0,0,0,0
63614ad9841a7d16ad04512a,3,a3,0,0,0,0,0,0,0
66b3c498d77bba8cb7e9800e,2,b1,0,0,0,0,0,0,0
5eaa605c7c3cbc1f14421a94,3,b3,0,0,0,0,0,0,0
6173240b98f6e6f48d97880a,3,a1,0,0,0,0,0,0,0
67cb5baef51d73572cb490ae,4,a1,0,0,0,0,0,0,0
5d7a1fce27fb8a000196993e,3,b1,0,0,0,0,0,0,0
5da8768c2a921500145c6a0d,2,b2,0,0,1,42,0,0,0
5e530b304818fc31afb5a3ea,3,b1,0,0,0,0,0,0,0
66cb2e0bd2169db778550269,2,a1,3,1,0,0,0,0,0
5b98940f754b700001f0f15c,1,b1,0,0,0,0,0,0,0
67a8fa10b4db1990f7372f01,3,a3,0,0,0,0,0,0,0
5af1a4bc6e136b0001411714,3,b2,0,0,0,0,0,0,0
672f246d1d67d71960402ef8,4,b1,0,0,0,0,28,14,1434
66640059232bcc6a15b24803,3,b1,0,0,0,0,0,0,0
6294ce94ea81c4554b141010,1,a2,0,0,0,0,0,0,0
6155180ec2486a4b4f9a0399,1,a2,0,0,0,0,0,0,0
5b68c9eb87af310001584803,4,a3,0,0,0,0,3,3,507
5f6e76757befe43b22307387,1,b2,0,0,0,0,0,0,0
5fb551ccab996500099ab1aa,1,b1,0,0,0,0,0,0,0
668524a1a970340348138c93,4,b2,0,0,0,0,21,12,1303
65389f0b0f181197c4218f6d,3,b3,0,0,0,0,0,0,0
59ff47d47ecfc50001be0555,4,b2,0,0,0,0,9,4,442
5b9d57e5737d030001ad2cbf,3,b2,0,0,0,0,0,0,0
612adba08b8235b31539c704,4,a1,0,0,0,0,12,6,845
60d88604c5043e278f740608,1,b1,0,0,0,0,0,0,0
641397a5ea8f5954ad10fceb,1,b2,0,0,0,0,0,0,0
666fb6f24d1c14f333eb4a0a,4,b1,0,0,0,0,15,9,946
65a700a7fa22d5f150d08b09,2,a3,3,2,6,880,0,0,0
67166aa9ff2bc371c302fa92,4,a1,0,0,0,0,3,3,513
5b421b9ac2e3810001763252,4,a1,0,0,0,0,27,14,1167
664287debe4750708ea0ecf7,3,a3,0,0,0,0,0,0,0
5d1e2045a37a4d001a1fc2cb,1,a1,0,0,0,0,0,0,0
674bea1eb044fbe75795fef1,4,b1,0,0,0,0,0,0,0
5c74e7e9c3fe130001e86cc8,3,b3,0,0,0,0,0,0,0
605cd1b167207b8209b39fee,1,a1,0,0,0,0,0,0,0
62fd14d7b1e0729dc8aadb79,2,b1,0,0,1,85,0,0,0
65d587429ae199f8fb3d2af9,4,a2,0,0,0,0,21,13,1760
5ee28b04c21e4b3d41f5dd8b,2,a3,3,2,0,0,0,0,0
582474a8aac01b0001e45ef9,4,b2,0,0,0,0,27,10,1060
66b3e078bef7d6dd6c53e015,2,a2,3,1,0,0,0,0,0
5c9034a2eedbd9001573ca14,4,b1,0,0,0,0,9,3,305
65c0f99b71fb575465c6ca0d,1,b2,0,0,0,0,0,0,0
680ead7c2b5ff2611f16aaff,2,a1,3,1,0,0,0,0,0
67048d5f52bfc5947eff998d,1,a1,0,0,0,0,0,0,0
676f28a680afa9fe2cf06ac0,2,b2,3,0,1,29,0,0,0
65a46bd1df11a18ab8055107,1,a2,0,0,0,0,0,0,0
67b9d2f7a49052c6e25c6a7f,2,b3,0,0,0,0,0,0,0
5c9bfbfa325c3d001ad360a8,4,b1,0,0,0,0,12,9,814
676f0ec8ea4254c4597b62ba,4,a1,0,0,0,0,0,0,0
677ef0198fc5d8193c009e35,1,b1,0,0,0,0,0,0,0
66ccdd9f6b12c6ea6fa01f42,1,a3,0,0,0,0,0,0,0
5efd22056ec55516587f32a6,3,a1,0,0,0,0,0,0,0
66eeda2bc7d6e9b92b4a81c0,2,b3,3,1,0,0,0,0,0
601c277aabe00c6bc759bf69,1,a1,0,0,0,0,0,0,0
66e641a57e7f41866f9e705f,2,a3,0,0,0,0,0,0,0
668a9e53e7690b3b64d48e92,3,b2,0,0,0,0,0,0,0
5838861383a1cc0001f3f258,1,a1,0,0,0,0,0,0,0
67a8d4209cbe02ab001f208a,3,a1,0,0,0,0,0,0,0
67e8ffe90ba972b691421fcf,1,b3,0,0,0,0,0,0,0
67d3ae4ba9a2595f154f14c7,3,a3,0,0,0,0,0,0,0
67dd40b531ab9c33ff61e98e,3,a1,0,0,0,0,0,0,0
67ce066d8423f4b37bcbdde8,2,b1,0,0,0,0,0,0,0
67dd4da2c093609cf5b34756,3,b2,0,0,0,0,0,0,0
672c74f54295206bddb0146a,2,a3,3,1,0,0,0,0,0
663a5d30071a8ee639e0b6be,4,b2,0,0,0,0,12,5,152
665cffa294d28913423afcfd,1,b1,0,0,0,0,0,0,0
66116b936273edeae82eb481,2,b1,3,1,0,0,0,0,0
5c5fc78e96dff400013607a5,3,b3,0,0,0,0,0,0,0
661125097f843e3140f7be59,4,a1,0,0,0,0,9,6,667
6674a469ceb7450e9fe167f6,3,b2,0,0,0,0,0,0,0
6546e4c359e7f644c638df33,3,a3,0,0,0,0,0,0,0
5e39e1e2c8aeb01fe7aca4b6,4,a2,0,0,0,0,12,6,343
5d4a15309855f10015912c4b,4,a3,0,0,0,0,12,9,1011
6825af939111d286546fdde6,3,a1,0,0,0,0,0,0,0
66927ac65524897b604bc734,3,b2,0,0,0,0,0,0,0
6396a9885e2b6edd030c6758,3,b1,0,0,0,0,0,0,0
67d9625169884c7fdecaf0a6,2,a1,0,0,0,0,0,0,0
66541be4b45de05734e7129a,2,a3,3,2,0,0,0,0,0
563da4c4ef3f15000bb92b64,1,a3,0,0,0,0,0,0,0
5d3cc4bd1850400016d2bb66,3,a1,0,0,0,0,0,0,0
6631e8c2d53e95056e4ac6bb,2,a2,0,0,0,0,0,0,0
67fdd9518421c21fced4f1c1,2,a1,3,1,0,0,0,0,0
67d43f5c7253c147df75e9e5,3,b1,0,0,0,0,0,0,0
5de7d7a6603b1b73f3944f8e,4,a3,0,0,0,0,24,18,1223
67d095bc257ecc840642912e,4,b2,0,0,0,0,0,0,0
62a728828075b57c01e8c1e5,1,a1,0,0,0,0,0,0,0
67d98fdc3119bc87d2012ac3,3,b2,0,0,0,0,0,0,0
6400db77211380d3116572fc,1,b1,0,0,0,0,0,0,0
6504c6655c2ae520567f52ff,4,b3,0,0,0,0,18,11,879
6413bee5234ad46e9fc4ba75,2,a1,3,1,1,359,0,0,0
611175c06e962ff669c8fb41,2,b3,3,1,1,373,0,0,0
67e2ec1e3ccfcc02f94d6351,1,a1,0,0,0,0,0,0,0
662bbc5c823afb7c3a3a1629,3,b2,0,0,0,0,0,0,0
5e8fb6ba9b5ff02b5150ab10,2,b2,0,0,0,0,0,0,0
5c3c1728bc64440001349812,4,a2,0,0,0,0,12,8,817
568899d9d7848e0005399c6b,3,a3,0,0,0,0,0,0,0
66dd9c5b1c02410a87c068e5,3,a2,0,0,0,0,0,0,0
66579b7b916558ed86d82c0e,3,b2,0,0,0,0,0,0,0
5cf58c09370a0800017d209d,1,b3,0,0,0,0,0,0,0
65b825e9e223a35e7fa74a17,3,b3,0,0,0,0,0,0,0
67f3078347506a49d499c545,2,a3,0,0,0,0,0,0,0
670032c698d32e9dba5e5fc0,2,a2,3,2,0,0,0,0,0
61219fd8387ca59d07e0dc1c,1,b1,0,0,0,0,0,0,0
5fcca7bf6a7182b003b32a36,4,b2,0,0,0,0,0,0,0
6393ebe98d06bc1ea32c873e,2,a1,0,0,0,0,0,0,0
67c4bca8b11a897ba41184ae,2,a1,3,1,0,0,0,0,0
607a7b7d300ce256f51706bd,2,b1,3,1,0,0,0,0,0
65ddeb426c748b12456eed89,3,a3,0,0,0,0,0,0,0
62c66498e5b6da32be94c7e6,3,a3,0,0,0,0,0,0,0
66cde7c1776904d08cb84fda,3,b2,0,0,0,0,0,0,0
676afbdcf204d0ab9df03494,2,a1,3,0,0,0,0,0,0
67e830b647b5346d37e9bc11,3,b3,0,0,0,0,0,0,0
67e0870d582edce0a2764d1f,1,b2,0,0,0,0,0,0,0
61310222247b6dcdfd39bddf,3,b3,0,0,0,0,0,0,0
62a89318448a8592fc88ee03,1,b3,0,0,0,0,0,0,0
6697cf02d714e7ee3fdedcec,2,a3,3,2,2,107,0,0,0
67912aea114797f20483bc08,1,b3,0,0,0,0,0,0,0
5bf0b1ecaf38d100016bd609,2,a3,3,1,0,0,0,0,0
6658b6838e28e3383feae335,4,b1,0,0,0,0,9,9,800
558a327cfdf99b2d75651681,3,b3,0,0,0,0,0,0,0
60e5fa452bd56bda03990e27,2,b3,3,1,0,0,0,0,0
5eac39578621a7067ae955eb,4,a3,0,0,0,0,21,8,331
62733b8ee687326d23d970ea,1,a3,0,0,0,0,0,0,0
66a09fe785573924735fc76f,3,a3,0,0,0,0,0,0,0
67f22d9adc313d0ce5eafff4,2,a1,3,3,0,0,0,0,0
66312361cf5d4099e1330532,1,a1,0,0,0,0,0,0,0
67e1c1545703160cb768ca81,2,b2,3,1,0,0,0,0,0
67fffee26ec983c07f3a2abd,1,a3,0,0,0,0,0,0,0
5c2e322b86f8be000162051d,1,a3,0,0,0,0,0,0,0
67d18c20050ecfd766de3af3,2,b1,3,1,0,0,0,0,0
630981b0f861918e8174a43e,3,a3,0,0,0,0,0,0,0
65c10fc4bfa12f9fbcfda656,1,a3,0,0,0,0,0,0,0
66323f16b05df4403391861c,1,a1,0,0,0,0,0,0,0
67ef53cadb2da106db5e5705,3,b2,0,0,0,0,0,0,0
5ff5ca8cd0b2850877119272,3,b3,0,0,0,0,0,0,0
677b8e386966144d94556597,3,a1,0,0,0,0,0,0,0
675d960e0a56f4fd3189d1b3,1,b3,0,0,0,0,0,0,0
61338374ecef87bfdfd1c7bb,3,b2,0,0,0,0,0,0,0
674b1543144567181e0b91dd,1,a1,0,0,0,0,0,0,0
5cb62e9293342300017a72a1,2,a3,0,0,0,0,0,0,0
63e51bdade16b861346088b4,3,b3,0,0,0,0,0,0,0
5721b3054d5b26001301f651,4,b3,0,0,0,0,15,10,947
592a6246e1b21500015924ec,2,a1,3,1,1,225,0,0,0
58d62c1733fef30001189b75,2,b1,3,1,0,0,0,0,0
67d070528f54dbfce58f90a2,4,b1,0,0,0,0,12,2,118
56b8de29e1d0a200051517f8,3,a2,0,0,0,0,0,0,0
675b41e1b943026fc6b83379,3,b1,0,0,0,0,0,0,0
663e30d90403a7b041965a81,2,b1,0,0,0,0,0,0,0
63d1b680be452fa711f77f60,1,a1,0,0,0,0,0,0,0
5a0a7bc6ff266c0001d2009d,3,b3,0,0,0,0,0,0,0
66c0df311f98d7c9661669d9,2,b3,0,0,0,0,0,0,0
652be55d3d99a68b56fe7d56,2,b2,3,1,1,464,0,0,0
64136650748e4e17c18e1900,4,b1,0,0,0,0,18,10,1008
6598524eff590951e558a42f,1,a1,0,0,0,0,0,0,0
5f4fb5c0ad48ba0ab9a454e5,3,a1,0,0,0,0,0,0,0
5d23d88ba60539001ba16192,4,b1,0,0,0,0,24,7,645
5be9ce784f251d00015ce92e,3,a2,0,0,0,0,0,0,0
6669d0b650f615804a4d534f,1,b1,0,0,0,0,0,0,0
5ef07f0ba383185b3570273e,1,a1,0,0,0,0,0,0,0
67e1cbc7607f91fd502da9d2,3,b3,0,0,0,0,0,0,0
66467f5703bc98ffca9a248c,2,a1,3,3,0,0,0,0,0
651f877f99a86ed3d73471c5,1,a3,0,0,0,0,0,0,0
6287f4819c5fc8c4d48cc885,1,a1,0,0,0,0,0,0,0
614e6f4f00a9e94b123316d3,3,a1,0,0,0,0,0,0,0
5dc71b96d210e45213e92359,3,a1,0,0,0,0,0,0,0
5f974c72a0ed8c0f9ce724ea,4,a3,0,0,0,0,55,27,1328
646ff124ef129159bf5f08f7,4,b3,0,0,0,0,9,5,965
5e7b779563c6dc05953e3669,3,b1,0,0,0,0,0,0,0
66823a439b3e59a13b37a28f,2,b1,3,0,0,0,0,0,0
6674d22663a406047c933cb0,1,a3,0,0,0,0,0,0,0
6658c03719546bf4a7e548d8,3,a2,0,0,0,0,0,0,0
6717b21c1e82990c9080d9bc,4,b3,0,0,0,0,18,9,911
62c5d0cfdf443d24e054d302,1,a3,0,0,0,0,0,0,0
665e680164927b18554b66ec,3,a1,0,0,0,0,0,0,0
5fc4868e1e58465b64455779,2,a3,3,0,0,0,0,0,0
67d41d29479463a26163080b,4,b1,0,0,0,0,0,0,0
67d41706b93041fcbe3c570b,4,a3,0,0,0,0,3,0,0
5980fff19bf4fe0001070984,4,a3,0,0,0,0,15,8,747
67df28916f79de47a12d35d9,2,b3,0,0,0,0,0,0,0
67cdf158555dc24e9c13714a,1,b1,0,0,0,0,0,0,0
58462977d2be990001174ae3,4,b2,0,0,0,0,9,4,483
65c113f79050d9c2915d2e82,1,b1,0,0,0,0,0,0,0
5de30dd39a9da5342d09f2e8,2,b1,0,0,0,0,0,0,0
66926bdaacd865fc152ef5ff,1,b1,0,0,0,0,0,0,0
67f1eb2d9ccd34a445b0e325,4,b3,0,0,0,0,15,9,858
677fbf2241c218ac3f28b1cb,4,a1,0,0,0,0,9,9,958
63852fbf95d78ba25b99005e,2,a1,0,0,0,0,0,0,0
66a1fc85343b3affee39f729,4,a2,0,0,0,0,0,0,0
66a65fa27457d9821eea23b6,2,b3,3,0,0,0,0,0,0
65352328ddb089d098ab5d36,2,b1,3,2,1,437,0,0,0
5928df79366dc80001d0b788,4,b1,0,0,0,0,15,12,1154
67eac4d6bf3d1c4df7bd65df,4,b3,0,0,0,0,9,0,0
663595186fd0c6f76c84f144,4,a1,0,0,0,0,33,16,1853
67f1384261cfa13f4b12db2d,4,a1,0,0,0,0,15,11,620
67208cb4db00974fb9050f5a,2,a1,0,0,0,0,0,0,0
5bb756696322c5000159756c,4,b1,0,0,0,0,54,36,2410
5fc2c0cfdb80f9025c6b4810,4,a3,0,0,0,0,9,2,40
67e8aa454848956e5e32c19d,2,a1,3,0,0,0,0,0,0
665a081994dc662744486887,1,b1,0,0,0,0,0,0,0
677edb96bb091e27806608b9,2,b2,0,0,0,0,0,0,0
664b530d4cf8b88b68548a11,4,b3,0,0,0,0,0,0,0
5a5f7c21ac56240001543340,4,b1,0,0,0,0,23,13,671
5b126ec7c85dc400016220a4,1,b1,0,0,0,0,0,0,0
66464354449c2d4c2de11537,2,a1,3,1,1,520,0,0,0
5ce1f31a27efac0018821eed,2,a2,3,1,2,1232,0,0,0
66aa83dd5d34973838c99ad3,1,b3,0,0,0,0,0,0,0
65ff13cac7dc7dc6c54458ce,2,b1,3,1,0,0,0,0,0
6729f313d7f4a118598bc4cf,4,a2,0,0,0,0,21,3,127
5f7542c93ea2c11ba1551c51,1,a2,0,0,0,0,0,0,0
67403de187ba0c277a19a258,4,a3,0,0,0,0,33,14,1350
67b1e771274d3a16c4e32358,4,a1,0,0,0,0,0,0,0
6779c8fd10ec19bf89b5f9d8,1,a1,0,0,0,0,0,0,0
67d09ba717ec412519ebf44b,1,b1,0,0,0,0,0,0,0
67e71c9c4c220e0f0df2ef30,1,a2,0,0,0,0,0,0,0
65e1f75ab3efd22e847cfbf0,1,b3,0,0,0,0,0,0,0
