participant_id,Quality_of_argument,Coherence_and_cohesion,Lexical_resource_and_grammar
63e584009bf1aa55a39e1d53,8,8,8
5a791168f49c9a0001f31061,5,5,5
676276312d87ec9601be7d5c,5,5,6
65cb7b14e78fc98ecd71d8de,7,7,7
5eaee5a2b1ad425c2eb0061d,6,6,7
682ce81464477d02bf7e7fd0,6,6,6
60ae732b911084864713db46,7,7,8
6600a119385d8631c41cd795,6,5,6
666640831e2f8d963f8c528f,6,6,6
5755c957eb80c4000741a9ce,6,7,8
6202997def1cb18a1337c483,6,6,7
64ec1d84372b0dbb94589054,7,7,7
662973533159df515afdd606,5,5,7
631fdedf78d4f7b0a6b985ad,7,7,7
67f588a70bda8704ed309bb2,6,7,7
6722a197cc0c3f9ed2aa5110,7,7,7
66cdcfbb7cf063916d61746f,6,6,5
67bd0a210300cd17904fcd28,6,7,6
5f58d7941af44708223b94da,6,6,6
66f75ca6c63db2214194b1cc,8,7,7
67e41073845419aa20c5dcfe,5,5,5
6739c63518b4df234536f2d7,6,6,6
66df94af83813d40ddcbf790,6,6,6
6772eefa63ec1102cc8bce2e,5,5,5
5e47a5ae418f6125620ee944,6,6,6
653ae70380d91293ccf6e5d9,5,5,6
62f1b2691a5ac1c03a9987a0,6,7,7
5d6d729b679b200019c12498,7,7,7
675efef80636ec90d906ecb4,7,7,7
5e1545d9b1fb05b6369d13e8,6,7,7
5f4e52a627d2a0000a8ed0c5,6,7,6
673378009f99d14c232c1f2b,7,7,8
676add84a7c12204af3e4c90,5,5,6
6733a35832fa017f4156e703,6,7,7
67cfeddb9f4b04d789ca82bd,6,7,7
673f58421b143a15bc2367c1,5,5,5
67ea1b486fa9c8eb97c1c4ea,7,8,8
67781e16d9eefb2646a5f089,7,7,8
63614ad9841a7d16ad04512a,7,7,7
66b3c498d77bba8cb7e9800e,5,6,6
5eaa605c7c3cbc1f14421a94,6,7,7
6173240b98f6e6f48d97880a,7,7,8
67cb5baef51d73572cb490ae,6,5,5
5d7a1fce27fb8a000196993e,7,8,8
5da8768c2a921500145c6a0d,6,6,6
5e530b304818fc31afb5a3ea,7,7,8
66cb2e0bd2169db778550269,6,6,6
5b98940f754b700001f0f15c,5,5,5
67a8fa10b4db1990f7372f01,6,7,6
5af1a4bc6e136b0001411714,6,7,7
672f246d1d67d71960402ef8,7,7,7
66640059232bcc6a15b24803,7,7,8
6294ce94ea81c4554b141010,6,6,5
6155180ec2486a4b4f9a0399,5,6,4
5b68c9eb87af310001584803,6,6,6
5f6e76757befe43b22307387,6,6,6
5fb551ccab996500099ab1aa,5,5,5
668524a1a970340348138c93,5,6,6
65389f0b0f181197c4218f6d,6,6,6
59ff47d47ecfc50001be0555,5,5,5
5b9d57e5737d030001ad2cbf,7,7,7
612adba08b8235b31539c704,6,5,7
60d88604c5043e278f740608,5,5,5
641397a5ea8f5954ad10fceb,5,5,5
666fb6f24d1c14f333eb4a0a,7,7,7
65a700a7fa22d5f150d08b09,5,5,5
67166aa9ff2bc371c302fa92,5,5,6
5b421b9ac2e3810001763252,6,5,5
664287debe4750708ea0ecf7,7,7,7
5d1e2045a37a4d001a1fc2cb,4,4,5
674bea1eb044fbe75795fef1,6,6,6
5c74e7e9c3fe130001e86cc8,7,7,8
605cd1b167207b8209b39fee,6,4,6
62fd14d7b1e0729dc8aadb79,4,6,7
65d587429ae199f8fb3d2af9,7,7,8
5ee28b04c21e4b3d41f5dd8b,7,7,7
582474a8aac01b0001e45ef9,4,5,7
66b3e078bef7d6dd6c53e015,6,6,6
5c9034a2eedbd9001573ca14,4,3,3
65c0f99b71fb575465c6ca0d,5,4,4
680ead7c2b5ff2611f16aaff,6,5,6
67048d5f52bfc5947eff998d,6,6,5
676f28a680afa9fe2cf06ac0,6,7,7
65a46bd1df11a18ab8055107,5,5,5
67b9d2f7a49052c6e25c6a7f,5,4,6
5c9bfbfa325c3d001ad360a8,6,6,7
676f0ec8ea4254c4597b62ba,5,5,5
677ef0198fc5d8193c009e35,6,6,6
66ccdd9f6b12c6ea6fa01f42,5,4,5
5efd22056ec55516587f32a6,7,7,8
66eeda2bc7d6e9b92b4a81c0,6,6,6
601c277aabe00c6bc759bf69,6,7,6
66e641a57e7f41866f9e705f,6,7,7
668a9e53e7690b3b64d48e92,7,8,8
5838861383a1cc0001f3f258,6,5,6
67a8d4209cbe02ab001f208a,7,8,8
67e8ffe90ba972b691421fcf,5,6,6
67d3ae4ba9a2595f154f14c7,7,7,6
67dd40b531ab9c33ff61e98e,7,7,8
67ce066d8423f4b37bcbdde8,6,6,6
67dd4da2c093609cf5b34756,7,8,8
672c74f54295206bddb0146a,6,6,5
663a5d30071a8ee639e0b6be,5,5,6
665cffa294d28913423afcfd,5,5,6
66116b936273edeae82eb481,6,6,6
5c5fc78e96dff400013607a5,6,7,7
661125097f843e3140f7be59,6,6,6
6674a469ceb7450e9fe167f6,7,7,7
6546e4c359e7f644c638df33,7,7,7
5e39e1e2c8aeb01fe7aca4b6,6,6,6
5d4a15309855f10015912c4b,6,6,7
6825af939111d286546fdde6,6,7,7
66927ac65524897b604bc734,6,7,7
6396a9885e2b6edd030c6758,6,7,7
67d9625169884c7fdecaf0a6,4,5,5
66541be4b45de05734e7129a,4,3,4
563da4c4ef3f15000bb92b64,7,7,8
5d3cc4bd1850400016d2bb66,6,7,8
6631e8c2d53e95056e4ac6bb,6,7,7
67fdd9518421c21fced4f1c1,6,7,7
67d43f5c7253c147df75e9e5,7,7,8
5de7d7a6603b1b73f3944f8e,7,6,7
67d095bc257ecc840642912e,4,4,4
62a728828075b57c01e8c1e5,6,6,6
67d98fdc3119bc87d2012ac3,8,7,8
6400db77211380d3116572fc,5,6,6
6504c6655c2ae520567f52ff,5,5,5
6413bee5234ad46e9fc4ba75,5,6,6
611175c06e962ff669c8fb41,6,6,7
67e2ec1e3ccfcc02f94d6351,5,4,4
662bbc5c823afb7c3a3a1629,6,7,8
5e8fb6ba9b5ff02b5150ab10,6,6,6
5c3c1728bc64440001349812,7,7,7
568899d9d7848e0005399c6b,7,7,7
66dd9c5b1c02410a87c068e5,7,7,7
66579b7b916558ed86d82c0e,7,8,8
5cf58c09370a0800017d209d,6,6,6
65b825e9e223a35e7fa74a17,7,7,7
67f3078347506a49d499c545,4,4,4
670032c698d32e9dba5e5fc0,5,5,5
61219fd8387ca59d07e0dc1c,5,4,5
5fcca7bf6a7182b003b32a36,6,6,6
6393ebe98d06bc1ea32c873e,6,6,5
67c4bca8b11a897ba41184ae,6,6,5
607a7b7d300ce256f51706bd,6,6,6
65ddeb426c748b12456eed89,5,5,7
62c66498e5b6da32be94c7e6,7,6,8
66cde7c1776904d08cb84fda,6,7,7
676afbdcf204d0ab9df03494,6,6,6
67e830b647b5346d37e9bc11,7,8,8
67e0870d582edce0a2764d1f,6,6,6
61310222247b6dcdfd39bddf,7,8,8
62a89318448a8592fc88ee03,5,6,6
6697cf02d714e7ee3fdedcec,6,7,7
67912aea114797f20483bc08,6,6,6
5bf0b1ecaf38d100016bd609,6,6,7
6658b6838e28e3383feae335,5,5,5
558a327cfdf99b2d75651681,7,7,8
60e5fa452bd56bda03990e27,6,6,6
5eac39578621a7067ae955eb,7,7,7
62733b8ee687326d23d970ea,7,7,6
66a09fe785573924735fc76f,8,8,9
67f22d9adc313d0ce5eafff4,5,5,5
66312361cf5d4099e1330532,6,6,6
67e1c1545703160cb768ca81,5,4,4
67fffee26ec983c07f3a2abd,6,6,6
5c2e322b86f8be000162051d,7,7,7
67d18c20050ecfd766de3af3,5,4,4
630981b0f861918e8174a43e,7,7,8
65c10fc4bfa12f9fbcfda656,6,6,5
66323f16b05df4403391861c,6,6,5
67ef53cadb2da106db5e5705,7,8,8
5ff5ca8cd0b2850877119272,7,7,7
677b8e386966144d94556597,8,8,9
675d960e0a56f4fd3189d1b3,6,6,6
61338374ecef87bfdfd1c7bb,8,8,8
674b1543144567181e0b91dd,5,5,5
5cb62e9293342300017a72a1,6,7,6
63e51bdade16b861346088b4,7,7,8
5721b3054d5b26001301f651,6,6,6
592a6246e1b21500015924ec,5,4,8
58d62c1733fef30001189b75,7,7,7
67d070528f54dbfce58f90a2,5,5,6
56b8de29e1d0a200051517f8,6,7,7
675b41e1b943026fc6b83379,8,7,8
663e30d90403a7b041965a81,7,7,7
63d1b680be452fa711f77f60,6,6,6
5a0a7bc6ff266c0001d2009d,7,7,7
66c0df311f98d7c9661669d9,6,6,6
652be55d3d99a68b56fe7d56,6,5,6
64136650748e4e17c18e1900,6,6,6
6598524eff590951e558a42f,6,7,7
5f4fb5c0ad48ba0ab9a454e5,4,6,7
5d23d88ba60539001ba16192,6,6,6
5be9ce784f251d00015ce92e,7,8,8
6669d0b650f615804a4d534f,6,6,6
5ef07f0ba383185b3570273e,7,7,7
67e1cbc7607f91fd502da9d2,6,7,7
66467f5703bc98ffca9a248c,6,7,7
651f877f99a86ed3d73471c5,7,7,7
6287f4819c5fc8c4d48cc885,5,5,5
614e6f4f00a9e94b123316d3,7,7,8
5dc71b96d210e45213e92359,7,7,7
5f974c72a0ed8c0f9ce724ea,6,7,7
646ff124ef129159bf5f08f7,6,6,6
5e7b779563c6dc05953e3669,7,7,8
66823a439b3e59a13b37a28f,2,4,6
6674d22663a406047c933cb0,6,6,6
6658c03719546bf4a7e548d8,7,7,7
6717b21c1e82990c9080d9bc,5,5,5
62c5d0cfdf443d24e054d302,6,6,6
665e680164927b18554b66ec,6,7,7
5fc4868e1e58465b64455779,6,7,8
67d41d29479463a26163080b,4,4,4
67d41706b93041fcbe3c570b,5,2,4
5980fff19bf4fe0001070984,5,5,6
67df28916f79de47a12d35d9,4,4,4
67cdf158555dc24e9c13714a,5,6,6
58462977d2be990001174ae3,6,6,6
65c113f79050d9c2915d2e82,5,5,6
5de30dd39a9da5342d09f2e8,5,4,5
66926bdaacd865fc152ef5ff,5,4,4
67f1eb2d9ccd34a445b0e325,6,6,6
677fbf2241c218ac3f28b1cb,6,6,6
63852fbf95d78ba25b99005e,6,6,7
66a1fc85343b3affee39f729,6,6,6
66a65fa27457d9821eea23b6,7,8,7
65352328ddb089d098ab5d36,5,5,5
5928df79366dc80001d0b788,8,8,8
67eac4d6bf3d1c4df7bd65df,6,6,5
663595186fd0c6f76c84f144,7,7,7
67f1384261cfa13f4b12db2d,6,7,6
67208cb4db00974fb9050f5a,5,5,4
5bb756696322c5000159756c,6,7,7
5fc2c0cfdb80f9025c6b4810,6,6,6
67e8aa454848956e5e32c19d,6,7,6
665a081994dc662744486887,5,5,5
677edb96bb091e27806608b9,7,6,7
664b530d4cf8b88b68548a11,5,5,6
5a5f7c21ac56240001543340,7,7,8
5b126ec7c85dc400016220a4,5,5,4
66464354449c2d4c2de11537,6,7,8
5ce1f31a27efac0018821eed,5,5,6
66aa83dd5d34973838c99ad3,6,7,6
65ff13cac7dc7dc6c54458ce,5,4,4
6729f313d7f4a118598bc4cf,7,7,8
5f7542c93ea2c11ba1551c51,5,6,7
67403de187ba0c277a19a258,5,5,5
67b1e771274d3a16c4e32358,5,5,5
6779c8fd10ec19bf89b5f9d8,6,6,5
67d09ba717ec412519ebf44b,6,7,6
67e71c9c4c220e0f0df2ef30,6,6,6
65e1f75ab3efd22e847cfbf0,6,6,5
