likert_0,likert_1,likert_2,likert_3,likert_4,likert_5,slider_0,slider_1,free_response_1,free_response_2,free_response_3,participant_id,prompt_id,condition
7,7,7,7,7,7,50,50,"I came up with the outline myself. While the AI filled in the details, it did truly state arguments I intended with my initial outline. I also modified its output a little, fine-tuning it to match my vision.","I came up with the vision, the AI filled in the details. It's fair to say we both contributed 50/50.","The AI really turned my outline into a full-fledged argument. I do feel like it's my argument though, since it's based on my outline.",631fdedf78d4f7b0a6b985ad,a1,3
7,7,7,1,7,7,100,100,I drafted the entire essay without any form of AI support.,"I drafted the text myself, and all ideas produced by the AI outline were ideas that I would have produced anyway.",I feel that this essay was 100% written by me.,63e584009bf1aa55a39e1d53,b2,2
7,7,7,1,5,6,100,100,"It is truly mine because I wrote the whole thing myself, with no AI assistance.",I did not use AI for any parts of the writing process.,,60ae732b911084864713db46,b3,1
6,7,7,2,6,5,70,80,"I relied a little on AI support, but ultimately I shaped the essay using my voice.","AI did come up with the ideas, but I added more meat to the bone to make the ideas have more context.",No.,5a791168f49c9a0001f31061,b3,2
5,6,5,7,6,6,30,40,"I feel that the ideas were mine, however, AI added/made a many points and wrote many of the sentences in the essay.","I think the ideas were mostly mine, and AI added clauses to support my arguments. I attributed 40% of the text to AI because I felt that AI wrote approximately 40% of the essay.",AI definitely deserves a lot of credit for its work on the essay.,65cb7b14e78fc98ecd71d8de,b3,4
7,7,7,1,7,7,100,100,I wrote it myself and included a lot of my own experiences in it.,"I wrote it all, I don't use AI for anything.","Nothing really, hope you enjoy it.",662973533159df515afdd606,b2,1
7,7,7,7,7,7,98,98,"The essay is mine since I wrote all the ideas, and only applied AI for proofreading.",I wrote the ideas as presented in the essay.,None,682ce81464477d02bf7e7fd0,a1,4
3,3,2,7,1,1,25,40,Because in my outline I never highlighted specific arguments those were chosen by the AI.,I didn't have enough time to change much during the revision period.,,6722a197cc0c3f9ed2aa5110,a1,3
4,5,4,6,5,6,88,40,"While the key points were all present in the essay, and I managed to make a lot of key changes and cleaned up the AI written essay,  there were segments that I had no impact over and left the same in sentence form,  making the final draft more a collaborative effort. ",I thought all of my key ideas and points were all written into the final essay. ,,66f75ca6c63db2214194b1cc,b1,3
6,7,7,7,6,5,86,79,I felt it was mine because i had control over the narrative and the final product.,,,6600a119385d8631c41cd795,a3,4
7,7,7,2,6,7,99,99,"I already had an opinion and started writing my outline, and i just looked at the AI one to spark some new ideas. I did all the writing and came up with 99% of the content",,,64ec1d84372b0dbb94589054,a3,2
4,6,5,7,3,6,80,42,"I felt that AI did put my words togher in a concise manner and understand what my draft intent was.  However I did not feel I had enough time to change it enough to put my personal slant on it, including simplifying it and correcting grammar.  I deleted AI argument about money as this was not perspective I felt strongly about, however I needed another read through to determine if I happy with the final output ","I selected 80% as the structure of my draft remained true, as well as main arguments and back-up examples.","It was interested, however I would need more time to able to own more of the final text as it was fundamentally written by AI not me",67f588a70bda8704ed309bb2,b1,3
7,7,7,1,6,4,100,100,I did feel that this essay was truly mine as I wrote it,Because all the ideas were indeed my own,Not really,67bd0a210300cd17904fcd28,a2,2
7,7,7,2,7,6,100,100,I wrote it from the bottom of my heart as this is something I am extremely passionate about. ,"I only skimmed the AI suggestions for the outline, and found I had already covered what it was suggesting for me to write about. ","I'm not really sure how helpful the AI was when I could only use it for the outline and not to assist with the actual essay, but this was an engaging, enjoyable task and sustained my attention for a long period of time. ",666640831e2f8d963f8c528f,b2,2
6,6,6,1,6,6,100,100,"I wrote all of it, I didn't use AI","I wrote all of it, I didn't use AI",It was fun,6202997def1cb18a1337c483,b1,2
7,7,7,1,7,7,100,100,"I felt it was truly mine. I put a lot of effort into it, and it took me a long time.","I wrote all of it by myself, and am proud of the work i did.",,66cdcfbb7cf063916d61746f,a3,1
7,7,7,1,7,7,100,100,"When choosing which essay to go with, I'd already formulated the central point I wanted to make before I saw any of the AI suggestions. While it was fun looking over a few of its ideas, they didn't tell me anything new so I feel like this essay was entirely of my own making. ","I didn't use any AI assistance for the final essay. It was my own writing, I edited it, I proofread it.","Wasn't there meant to be some AI assistance in the second half of the task? I had a little look around the interface but I could only see my own notes in the top right corner, I couldn't see an option to have it proofread my essay. I preferred to write the essay myself anyway, but I wasn't sure if there was something missing. ",5755c957eb80c4000741a9ce,a2,2
6,7,7,4,7,7,90,91,I felt it was mine because I believe I mostly came up with the ideas,,,6739c63518b4df234536f2d7,a3,2
7,7,7,1,7,6,100,100,I wrote it myself and used a belief I actually believe in. ,I wrote 100% of it myself,No,5f58d7941af44708223b94da,b3,1
6,6,7,2,7,7,95,97,"The collection of thoughts and how it was typed our were all mine. The AI gave me a few ideas, but I ended up choosing to stick closely to my own thoughts. AI is certainly helpful as an aid or bouncing ideas of however.",It was representative of what I was thinking and not what was given to me as a suggestion.,"I believe AI is a fantastic tool, and will develop over time, but for now I like it as a 'person' to bounce ideas off. ",5e47a5ae418f6125620ee944,b1,2
7,7,7,5,6,7,100,100,,I considered that these ideas were original and would not have been ones that not enough people would be able to have fully considered to be able to be integrated effectively into artificial intelligence.,No,653ae70380d91293ccf6e5d9,a3,4
7,7,7,1,7,7,100,100,"I chose not to use the AI assistance, I wanted to have everything to come from my own words. ",I did not utilize the AI. ,No. I actually really enjoyed doing this. ,66df94af83813d40ddcbf790,b1,2
4,5,5,7,2,5,91,23,I felt like all the AI really did was format my ideas into a lengthier and more academic style. ,"Well, the AI didn't change any of my ideas really. It did however write significantly more words than I did. Most of them were fluff, but they do count towards the word count. ","Very fun, thanks. ",62f1b2691a5ac1c03a9987a0,a3,3
7,7,7,1,7,7,100,100,The essay is truly mine cause i came up with my own outline of the essay and wrote it using my essay with no assistance from outside sources.,I attribute 100 percent me because or the ideas and writing were from me.,None,67e41073845419aa20c5dcfe,b2,1
7,7,6,2,7,7,100,100,"I feel it was truly mine because I didn’t have ai assistance to write it, I did feel I didn’t have a lot of control over it though due to the crazy times you have to compile and argument I’m passionate about environmental topics which is why I chose the one I did I have a vast knowledge of biodiversity and habitat restoration. I understand you didn’t want to give free amount of time as we may have taken forever and been more wordy than we should have been but to revise an essay for final draft in 10 mins is wild I wish I had more time I felt rushed and I don’t personally like writing like that lol I still feel it’s mine if there was an offer of an ai to help me I’m not sure where it was I was so rushed I messed it I guess. ",Because like I said I felt very rushed and kinda panicked lucky for me I’m really very well educated in the eco topics so I could write a pursuasive argument for the topic but because I was so rushed I missed it if you had any ai tools available to me for sure I was just trying to write and rewrite so it was coherent and sounded like I I am educated (ha ha it’s hard when your rushed to even think of using a bot especially now knowing where it was to get its help) ,"I said this multiple times now it’s not enough time I feel like there was so much I wanted to say I’m not sure where this fits in say in the context of a real world scenario: because yes if given time constraints that are so extreme like this was of given the chance I would have come up with my own ideas my own bullets per say and I would have then had an ai help me write it out in here if provided and if I had permission to utilize it to write with me. I get the moral implications of some things like universities not wanting student to just have ai do the work, that’s not the complete way it should be I agree on that point. However I’m a forward thinker, an out of the box standing up on it telling the world how I see things kind of person. That said I think there is a place for ai in education, if we started to teach kids at a young age that ai is a tool like a calculator or a computer might be, that help you with researching bouncing off ideas checking your work and helping to revise things like this even rewriting your incoherent throat streams to be beautifully written stories or research papers, essays anything really, the point is the more you tell a kid they can’t do something the more they will try to do it it’s got to be some sort of weird deep down ingrained survival instinct maybe. Who knows but I’m living proof of it. I was not allowed to eat sugar as a kid (adhd diagnosis at 7 deemed severe) I got ice cream and sodas once in awhile but I grew up being active members of a health food co-op and I learned early to read labels because my mom wouldn’t buy things like snacks or cereals that had sugar or a red dye in them. So point is I was denied sugar for the most part. At 18 when I went to college I was on my own I ate and drank nothing but sugar, sodas, ice cream, candy processed foods garbage for an entire year all snacks and meals were comprised of some combination of those items. Yep went crazy eating it all. When I started a family I vowed to myself and the universe I would never deny my children anything they wanted I would teach them natural moderation and natural hunger as well. So today my oldest son is 26, my youngest child my daughter is 19 I have 2 other boys in the middle of them all 4 are very healthy athletic active humans they all moderate themselves they eat when they are hungry not because a clock seems it national lunch time, they eat sweets and drink sodas but also choose water and juices as well. They are all highly intelligent and succeed in all aspects of life. Are all generally happy well rounded people. We have a relationship of respect and trust and love but above all nurturing and understanding without judgement. 

The point I’m trying to make is figure it out seriously figure out some educational breakthrough that allows them to learn to use ai as a tool to assist them in life and work and everyday mundane things. I in no way think they will become complacent and lazy children live to learn but our academic institution is so flawed and archaic it’s laughable. The important things should be stressed in educating first even if you restrict the use in schools or on school projects your ultimately hurting the students that are falling behind but don’t or can’t ask for help they need so to help them for awhile almost every ai tool will explain how and why they arrived at the answers to questions and what is it that it’s doing it’s teaching them how it’s done and if the kids interact thoughtfully engaging with it the bots will stick with them until they understand the topic fully. 

Look into that do a study on all that I bet you’d be surprised it you choose say a grade level to follow along with that’s allowed to use ai test them at the end of the year against a class of non ai user students they are going to prob be equal or higher level intelligence and know about the same stuff if not more have a better understand and get higher grades. 

Just my thoughts sorry for typos I’m typing fast I have to go do something in a min sorry it’s so long as well but I think if studied you’d see I’m right. ",676276312d87ec9601be7d5c,a2,1
6,6,5,5,7,6,85,80,"While the content was mine, some of the verbiage was not when using AI assistance. ","It was mostly my idea until some of the verbiage was changed via AI or a point that I didn't initially make, but sounded good to read. ","Everything went fine. I would've preferred about 5 more minutes on the draft, but it worked out. ",5eaee5a2b1ad425c2eb0061d,a1,4
6,7,5,7,6,7,95,60,,"The AI utilized all my ideas, expanded on them by including more arguments, and effectively making my ideas stand out.",Nothing else.,675efef80636ec90d906ecb4,a1,3
6,7,6,7,7,6,85,90,"I wrote the outline, I wrote the first draft, both without AI help. If I'd really been writing this, I would have had longer to formulate and construct arguments better and would have thought of some of the issues AI raised in the editing stage myself. I'd acknowledge using AI, but would still say that the essay was largely my own work","I didn't really have time to read and consider all the points raised by the AI tool anyway - which I only had access to in the editing stage - so for what it's worth, the essay was largely mine, good or bad!",,5d6d729b679b200019c12498,a3,4
6,7,7,5,6,7,97,94,It shortened my original ideas but kept the most important information although it did take away some of my sarcasm and humor to balance it out in my opinion.,As priory mentioned the AI curbed my humor and sarcasm and instead made language more direct.,My thoughts and ideas with AI factual structure.,673378009f99d14c232c1f2b,b3,3
7,7,7,6,7,7,63,65,"I laid down the groundwork, and it fully reflected my true thoughts, feelings, and biases even.",,"The tools needed to do a better job of showing me exactly where I should physically apply the feedback or just make it more obvious, it took me a minute.",5e1545d9b1fb05b6369d13e8,a3,4
7,7,7,3,6,6,94,96,The essay was truly mine because I created the outline and the arguments myself. Although i got insight from AI but i never make use of it.,"I chose to write the entire outline and the essay draft myself, neglecting the AI support that was available on the side panel.","The instructions were a bit confusing at the drafting stage as it showed AI generated outlines, but I had already created my own. I proceeded using my own outline and wrote the draft myself",5f4e52a627d2a0000a8ed0c5,a3,2
5,6,5,7,6,5,78,77,"I feel it was majorly mine, however AI helped improve it.",I feel AI was able to improve my ideas,"I really enjoyed this interface and writing piece, I liked how AI helped me expand on my already mentioned points",676add84a7c12204af3e4c90,a3,4
6,6,6,6,6,6,33,31,,,,67ea1b486fa9c8eb97c1c4ea,b3,3
6,6,6,5,7,6,96,90,,"majority of the write-up was done while AI just helped with sime final touches
",,6733a35832fa017f4156e703,a1,4
7,7,5,1,6,5,99,99,Because i used my brains and wrote it well.,I attributed it to myself because i tried my best .,No ,6772eefa63ec1102cc8bce2e,b1,2
6,7,7,4,6,7,80,70,Because I somehow relate to it.,Because they came from my own thinking.,,67d070528f54dbfce58f90a2,b1,4
5,7,4,7,4,7,100,16,"I think that the essay is partly mine and partly AI's because I came up with the outline, and the AI beefed it up and solidified the arguments.","The ideas are mine because I came up with the outline. However, the text is mostly from AI",,67cfeddb9f4b04d789ca82bd,a3,3
3,5,4,6,3,6,90,30,"The outline was mine, but the voice, the writing style, was not. It can't truly be mine unless I was the one that created it all.","I created the outline and I provided the guidance for the AI. The AI then took that guidance and transposed it into an essay based on my thoughts. The ideas were mine, but the final text is the majority of the AI's.",,67781e16d9eefb2646a5f089,a2,3
7,7,7,1,5,7,100,100,I did not use any of the AI tools. I just free-wrote whatever I felt about the topic and the ideas that came to mind. ,I did not use any of the AI tools. I just free-wrote whatever I felt about the topic and the ideas that came to mind. ,I didn't realize only part 1 could use AI assistance. I probably would have used it if I knew that was the case. ,66b3c498d77bba8cb7e9800e,b1,2
5,6,5,4,6,6,70,66,"The AI just made it more articulate, but I had the main ideas.",,"As I said before, the AI made it more articulate while my wording could have been so much better from the jump. So the AI saved me in that aspect, but I had the main ideas and examples.",5eaa605c7c3cbc1f14421a94,b3,3
7,7,7,3,6,7,100,85,"The essay tackled all of my talking points and di so in the way and order that I would have done so. I feel the basis of the AI generation maintaining my identity was due to having a comprehensive draft, if not for that I don't think it would have turned out so great.",The AI would sometimes use words or repeat itself in places where I would avoid. The AI would also create multiple stopping points despite the fact that I like to write and combine bigger points into running sentences. Fortunately these were easy edits to make and revise which really helped to make the AI's writing into my own.,,63614ad9841a7d16ad04512a,a3,3
4,7,7,7,2,7,79,18,,,,6173240b98f6e6f48d97880a,a1,3
6,6,6,3,6,6,90,91,"There was some help given for suggestions once I had my outline written that I found helpful, especialy when I was writing my first draft. I was appreciative of the AI suggestions that were offered to me. ",I felt liek I had most of the ideas but I got mroe insight when I saw the suggestions after I wrote my outline. There was a lot more I could think about in more detail. ,"I liked getting this writing assignment and breaking down my thoughts into outline, draft and final essay made it easier for me to see the points of view I wanted to point out.",673f58421b143a15bc2367c1,a1,4
3,6,2,7,3,1,20,31,I do not feel like it was entirely mine because I contributed majorly on the outline and I did not choose which arguments were included.,Because I did not do that much to the essay. The AI wrote a good essay and there was not much to revise.,No,6825af939111d286546fdde6,a1,3
7,7,7,1,7,7,100,100,I wrote everything from scratch. That is why i feel it is mine.,I did it all by myself.,No. All good.,67cb5baef51d73572cb490ae,a1,4
5,6,6,4,5,7,100,71,The arguments put forward in it are mine and I had the opportunity to edit and personalise it at the end. The AI just fleshed out my ideas with relevant examples that I hadn't thought of.,"The concepts in it were all mine, but the AI helped with providing relevant examples.",Nothing to add.,5d7a1fce27fb8a000196993e,b1,3
3,5,3,6,4,5,50,50,"I felt like my ideas were well-represented but the formal tone of voice is not mine. However, given this would be a paper, perhaps that is more appropriate. I also felt the AI added some additional arguments or scaffolding to build on my own which wasn't necessarily my writing.","I think a 50/50 split would be fair. My ideas build the skeleton of the essay but AI added the meat to the bones, if you will. ","I wouldn't feel comfortable submitting this as purely my own work. If I had more time (plus a clearer understanding of my purpose, audience, and maybe even a style guide) I would considerably edit the AI draft to represent my own ideas and writing more accurately.",5e530b304818fc31afb5a3ea,b1,3
6,5,6,4,5,5,84,83,,,,66cb2e0bd2169db778550269,a1,2
5,6,5,6,6,5,35,70,Everything was realistic.,Because i had highlighted  the point of my concern  which was very important.,NO,5af1a4bc6e136b0001411714,b2,3
5,6,5,6,7,6,70,70,This essay is 70% mine because i generated the outline that the AI used to drafte and also do editing of the write up before submitting,Because i drafted the outline by myself and then AI generated the content using my own outlines and i then revised the content befor submitting. I did two-third of the work and AI did one-third,none,67a8fa10b4db1990f7372f01,a3,3
7,7,7,7,7,7,100,100,I did not use A.I. ,I wrote the essay without help from A.I.,No comments. ,5b98940f754b700001f0f15c,b1,1
7,7,7,4,6,7,100,100,Was all my ideas,Was all me,,5da8768c2a921500145c6a0d,b2,2
6,7,7,5,7,7,100,98,"I certainly felt it was mine, I created the initial outline and the first draft, while the AI tools in the end helped me fixed typos, grammar issues and improvements to my arguments it's help was minimal and no different to any other writing tool so I still think it's 98% mine.",Because all the ideas were created and thought of by me.,It was a fun study and I really enjoyed this writing task as the topic is something I am passionate about so I put a great deal of effort into the task so I hope you love my writing piece.,672f246d1d67d71960402ef8,b1,4
6,7,5,7,6,5,60,30,"The AI assistant helped to flesh out the ideas contained in my outline, therefore the idea truly belongs to me",The final text was written by AI and slightly modified by me.,,66640059232bcc6a15b24803,b1,3
6,5,6,2,6,4,94,90,because i wrote it in my voice and it is my argument. ,I did most of the work.,It was a fascinating study and I would be interested in knowing more about it.,5e39e1e2c8aeb01fe7aca4b6,a2,4
6,6,6,7,5,4,37,36,I received some help from the AI provided,"AI did more, I attributed the highest percentage to AI",None,67e1cbc7607f91fd502da9d2,b3,3
6,6,6,6,4,5,70,45,"I sort of feel like this essay is mine, because I came up with the information, and AI made it sound a lot better. ","Because I had the idea in my thoughts and put them down, while AI modified my essay and made it sould a lot better. ",I really appreciate the way AI takes my ideas and words them better than I did. ,664287debe4750708ea0ecf7,a3,3
6,7,6,5,7,6,18,22,I feel i wrote the essay and this was reflective in how i write such as the thoughts were my own and this is my personal belief with the help of AI helping to rectify wording.,"The main ideas were my own, but AI helped me define the ideas with facts to support the text with enhancements.",,5b421b9ac2e3810001763252,a1,4
3,6,3,2,6,6,100,85,"It is clearly not mine, as I didn't write it. But I gave it a starting point for the AI to flesh it out, so in that sense it aligns with what I would have written.","Because I seeded the ideas and they were fleshed out, but not changed.","Straightforward task. However I didn't know how much change to to the AI draft you wanted me to make. I did what I felt was needed, no more.",5b9d57e5737d030001ad2cbf,b2,3
7,7,7,1,7,7,100,100,"As I had to craft every element of this essay, it felt like my work and mine alone, I did not have any external assistance",As I completed the work solely on my own.,"The interface was great to complete, I loved the inclusion of my draft in the top left as it helped me keep on track with my initial thought process.",6294ce94ea81c4554b141010,a2,1
1,1,6,7,6,6,100,0,"Because the constraints of the writing project mostly. There is the length and the limits of the issue. Time constraints are prohibitive for me editing myself.

The AI is mostly garbage the facts they added were unnecessary and obvious iterations of what I said. They actually made the essay sound worse. Which is an issue because it wasn't well written in the first place. Besides that it fixed a couple of typos. I could of proof read it better myself if I actually had the time to do it. ","I came up with the ideas. The final text was bad enough with having to write three hundred words. I repeated myself and not wanting to spend all day it wasn't very well written. I would prefer to give credit to that to anyone but me. I would actually credit the researchers.

I",,59ff47d47ecfc50001be0555,b2,4
3,5,3,7,4,5,70,25,"I don't feel that this essay is truly mine. While I created the outline, came up with the ideas, and revised the draft, I didn't actually write the essay at the end of the day. It would only feel like ""mine"" if I was the one who wrote it. ","The ideas in the text were mostly my own. The essay was written based on the draft I provided, using the ideas I identified. However, the actual text was not written by me and it wouldn't be right for me to take credit for it.","This was an enjoyable process; I might consider using AI to help me write in the future. However, I would always acknowledge that it was not my own writing if I chose to do so.",5c74e7e9c3fe130001e86cc8,b3,3
5,6,6,2,7,7,100,100,"I felt that the points come from not just personal experience but as well as what I see and what I've gone through. It relates to something similar to this in terms of tools, but not necessarily exactly. So I tried to approach it in a way that it is allowing for both parties to find a great medium.",I came up with the points because I think it's important that the three components that I brought up are typical for every type of electronic and or device that has been argued. I feel that it's solid as well as can be proven.,I felt that since there was a minimum of 300 words and allows for more room to think as well as to perhaps argue your points in a smaller summed up version. It also helps that this isn't necessarily a grade so it takes away a lot of stress and the need to want to have to get this right or suffer a major consequence from it.,65c0f99b71fb575465c6ca0d,b2,1
5,6,6,7,5,6,50,25,,,,5c5fc78e96dff400013607a5,b3,3
7,7,7,5,7,7,100,90,This essay was mine because I laid out the argument and perspective points and it was my general ideas and words that comprised the essay.,"I thought of and created the thought process, the subject perspective and the arguments.  The AI helped me to refine each of those points but did not think of or suggest them.",Nothing else at this time.,666fb6f24d1c14f333eb4a0a,b1,4
6,5,5,2,6,5,50,50,I chose the topic and put in a lot in the writing ,The task completed was all good and on the same scale ,No,67dd40b531ab9c33ff61e98e,a1,3
6,6,6,2,7,7,100,100,"Because I completely wrote it myself, without the help of AI.  ",,,5fb551ccab996500099ab1aa,b1,1
5,6,5,4,6,5,100,100,,,,5f6e76757befe43b22307387,b2,1
5,6,7,5,5,7,100,81,because i provided the main talking points and structure ,because i came up with the draft/ideas but used the ai a bit to improve some of my text on the final version,no,5b68c9eb87af310001584803,a3,4
7,7,6,1,6,7,100,100,These were all my thoughts,"Again, all me, no AI",,60d88604c5043e278f740608,b1,1
7,7,7,1,7,6,100,100,,,,5d1e2045a37a4d001a1fc2cb,a1,1
6,7,7,2,7,6,100,99,I feel this essay is completely mine as it is something that I hold dear as am an advocate for conservation efforts. I also feel that all the ideas were originally mine,Because I came up with all the ideas with no help from AI,No,6155180ec2486a4b4f9a0399,a2,1
6,6,6,2,5,7,100,84,,,,668524a1a970340348138c93,b2,4
7,7,5,1,7,7,100,100,I wrote the essay without assistance. ,I didn't see an option to use AI. After typing my draft I wasn't automatically routed off the screen. I added another sentence to complete my essay and than advanced. Not sure if an AI help was offered because it appears I was on the draft screen the entire time.,I thought and wrote everything I submitted. ,641397a5ea8f5954ad10fceb,b2,1
4,4,5,6,7,5,70,69,,,,612adba08b8235b31539c704,a1,4
7,7,7,7,7,6,71,66,,,No,67dd4da2c093609cf5b34756,b2,3
7,7,7,1,7,7,100,100,I did not use AI,I did not use AI,No.,67b9d2f7a49052c6e25c6a7f,b3,2
7,7,6,2,7,7,100,100,"Very personal issues. However, I am very self critical and look for evidence, the A1 points were valied and with more time would have expanded",see above,,5c9034a2eedbd9001573ca14,b1,4
7,7,7,6,6,7,75,90,,,,676f28a680afa9fe2cf06ac0,b2,2
7,7,6,1,7,7,100,100,Because I wrote all of it.,Because I didn't use anyone else's ideas.,"I did so horrible in my essay during orientation at U of M, that I was put in the lower English class. But then I did so well that I was placed out of the required class (English 125?). Go Blue! ",67048d5f52bfc5947eff998d,a1,1
7,7,7,5,6,7,95,100,I only clicked on the AI thing because you asked me to as it was part of the exercise but AI did not write anything.  ,"even though I glanced at what AI suggested, those ideas and more were already in my head.",I actually prefer to write with pen and paper first and then type it out and I feel that my essay is not the normal quality that I would submit because I was typing out my ideas as I was thinking them (which is the first stage of writing an essay for me) and then I would sort the points into groupings and order of importance and THEN I would think of more ideas or expand on the ideas I have already written down and then I would do my first draft and research to include supporting evidence and references to strengthen my arguments and THEN I would type it on a computer and lastly proofread it.,680ead7c2b5ff2611f16aaff,a1,2
